timestamp,entropy,skill_name,key_pressed,active_skills,player_x,player_y,kill_count,kill_reward
1768620703.8811235,112337.00,점프,e+right,None,49,47,1536,20
1768620706.4587567,92077.00,Idle,right,None,28,40,1536,0
1768620709.331153,102082.00,Idle,right,None,85,51,1553,17
1768620711.9956214,120079.00,점프,e,None,144,48,1570,17
1768620714.8898582,87886.00,점프,e+left,None,163,66,1574,4
1768620717.588223,105580.00,Idle,left,None,106,49,1590,16
1768620720.5805917,136691.00,Idle,right,None,24,58,1604,14
1768620723.2859735,110146.00,Idle,up,None,97,52,1612,8
1768620726.3422775,139009.00,Idle,left,None,149,44,1620,8
1768620729.197636,85271.00,Idle,left,None,141,50,1628,8
1768620732.319451,127085.00,Idle,right,None,100,52,1652,24
1768620735.2303586,107564.00,Idle,right,None,30,51,1666,14
1768620738.4453883,141323.00,Idle,right,None,29,40,1680,14
1768620741.493132,129961.00,Idle,right,None,124,57,1684,4
1768620744.7282698,111199.00,Idle,left,None,164,28,1702,18
1768620747.727514,121963.00,Idle,left,None,149,43,1722,20
1768620751.0464692,127054.00,점프,e+left,None,57,58,1727,5
1768620754.0721796,126483.00,Idle,right,None,58,50,1748,21
1768620757.3337557,108629.00,Idle,left,None,117,56,1764,16
1768620760.430556,96550.00,Idle,left,None,159,37,1777,13
