timestamp,entropy,ult_ready,sub_ready,skill_name,key_pressed,kill_count,kill_reward
1768609741.1043913,116586.00,1,1,에르다 샤워,4,1276,0
1768609745.6465905,71902.00,1,1,Key:e,e,1298,22
1768609750.642019,103176.00,1,1,Key:e,e,1319,21
1768609755.182253,145358.00,1,1,싸이킥 불릿,r,1336,17
1768609759.749912,106948.00,1,1,싸이킥 불릿,r,1374,38
1768609764.2437694,149146.00,1,1,싸이킥 불릿,r,1387,13
1768609768.8924823,88095.00,1,1,싸이킥 불릿,r,1404,17
1768609774.0950398,82682.00,1,1,Key:left,left,1423,19
1768609778.9952447,90559.00,1,1,Key:e,e,1445,22
1768609783.7824225,81555.00,1,1,Key:left,left,1464,19
1768609789.0922427,76378.00,1,1,Key:right,right,1489,25
1768609793.8820534,141304.00,1,1,싸이킥 불릿,r,1514,25
1768609799.3320806,87855.00,1,1,Key:e,e,1533,19
1768609804.3622928,101530.00,1,1,싸이킥 불릿,r,1547,14
1768609809.2412603,140997.00,1,1,Key:right,right,1580,33
1768609814.3201137,102575.00,1,1,싸이킥 불릿,r,1600,20
1768609819.3374689,87141.00,1,1,Key:right,right,1624,24
1768609825.0313516,92594.00,1,1,Key:e,e,1663,39
1768609830.1345837,97371.00,1,1,싸이킥 불릿,r,1676,13
1768609835.2772372,113958.00,1,1,싸이킥 불릿,r,1714,38
1768609840.5413592,95419.00,1,1,Key:right,right,1744,30
1768609845.8011515,86723.00,1,1,싸이킥 불릿,r,1752,8
1768609851.6422338,99041.00,1,1,Key:e,e,1767,15
1768609857.5304828,116187.00,1,1,Key:right,right,1808,41
1768609863.472428,77947.00,1,1,싸이킥 불릿,r,1825,17
1768609869.4186063,138247.00,1,1,Key:e,e,1859,34
1768609875.4537368,130434.00,1,1,Key:e,e,1876,17
1768609881.4890356,82176.00,1,1,Key:e,e,1913,37
1768609887.536038,89440.00,1,1,Key:e,e,1939,26
1768609893.6377292,80595.00,1,1,Key:e,e,1968,29
1768609899.745785,87087.00,1,1,Key:up,up,1895,0
1768609905.8663955,143602.00,1,1,싸이킥 불릿,r,2028,133
1768609911.9113662,94379.00,1,1,싸이킥 불릿,r,2032,4
1768609918.1036866,108354.00,1,1,Key:left,left,2065,33
1768609924.1848016,124139.00,1,1,싸이킥 불릿,r,2100,35
1768609930.4465082,122432.00,1,1,Key:e,e,2131,31
1768609936.6639564,140880.00,1,1,싸이킥 불릿,r,2156,25
1768609943.0536823,143819.00,1,1,싸이킥 불릿,r,2186,30
1768609949.304551,114764.00,1,1,Key:up,up,2220,34
1768609955.682541,134837.00,1,1,Key:right,right,2256,36
1768609962.0198624,91748.00,1,1,Key:e,e,2272,16
1768609968.572114,86677.00,1,1,싸이킥 불릿,r,2302,30
1768609975.0386624,113918.00,1,1,Key:right,right,2331,29
1768609981.4107578,101611.00,1,1,Key:e,e,2362,31
1768609987.8919208,110310.00,1,1,싸이킥 불릿,r,2386,24
1768609994.3885982,110369.00,1,1,Key:left,left,2416,30
1768610000.2713304,138634.00,1,1,Key:left,left,2442,26
1768610006.8722856,75947.00,1,1,Key:left,left,2469,27
1768610013.4610393,92639.00,1,1,Key:left,left,2493,24
1768610019.9177961,87668.00,1,1,Key:e,e,2520,27
1768610026.4418097,131055.00,1,1,Key:left,left,2551,31
1768610032.986458,100788.00,1,1,싸이킥 불릿,r,2565,14
1768610039.5888999,121132.00,1,1,싸이킥 불릿,r,2596,31
1768610046.2128077,87925.00,1,1,Key:left,left,2617,21
1768610052.847039,74363.00,1,1,싸이킥 불릿,r,2640,23
1768610058.7523959,122731.00,1,1,Key:e,e,2671,31
1768610065.2712688,89405.00,1,1,싸이킥 불릿,r,2639,0
1768610071.6495514,107225.00,1,1,Key:e,e,2727,88
1768610078.1406217,132458.00,1,1,Key:left,left,2764,37
1768610084.6312327,94694.00,1,1,Key:left,left,2786,22
1768610091.0486434,89140.00,1,1,싸이킥 불릿,r,2824,38
1768610097.5380075,117327.00,1,1,Key:left,left,2862,38
1768610104.0460057,109187.00,1,1,싸이킥 불릿,r,28390,25528
1768610110.4657483,75158.00,1,1,Key:e,e,2914,0
1768610116.9871123,77299.00,1,1,에르다 샤워,4,2933,19
1768610123.7254925,77606.00,1,1,싸이킥 불릿,r,2956,23
1768610130.5156806,75477.00,1,1,싸이킥 불릿,r,2956,0
1768610137.1382859,101021.00,1,1,싸이킥 불릿,r,2956,0
1768610143.890281,135928.00,1,1,Key:e,e,3002,46
1768610150.5888963,102622.00,1,1,Key:e,e,3024,22
1768610157.2727945,74674.00,1,1,싸이킥 불릿,r,3042,18
1768610163.553264,78679.00,1,1,싸이킥 불릿,r,3068,26
1768610169.7233572,91787.00,1,1,싸이킥 불릿,r,3089,21
1768610176.1743727,114319.00,1,1,Key:left,left,3117,28
1768610182.5560966,101864.00,1,1,싸이킥 불릿,r,3138,21
1768610188.7130332,125294.00,1,1,Key:e,e,3170,32
1768610194.4628131,79715.00,1,1,싸이킥 불릿,r,3180,10
1768610200.2018254,70241.00,1,1,Key:e,e,3211,31
1768610205.9804728,102730.00,1,1,싸이킥 불릿,r,3246,35
1768610211.7422802,136704.00,1,1,싸이킥 불릿,r,3264,18
1768610217.7425702,91815.00,1,1,Key:e,e,3286,22
1768610224.126847,109665.00,1,1,Key:right,right,3314,28
1768610230.703722,77911.00,1,1,싸이킥 불릿,r,3341,27
1768610237.2110996,94411.00,1,1,Key:e,e,3357,16
1768610243.7457597,149264.00,1,1,Key:right,right,3397,40
1768610250.0633345,79289.00,1,1,싸이킥 불릿,r,3420,23
1768610256.4163241,119024.00,1,1,싸이킥 불릿,r,3445,25
1768610262.7732852,110675.00,1,1,싸이킥 불릿,r,3458,13
1768610269.147142,90964.00,1,1,싸이킥 불릿,r,3496,38
1768610275.5029385,108839.00,1,1,Key:e,e,3534,38
1768610281.9584603,71445.00,1,1,싸이킥 불릿,r,3556,22
1768610288.199598,105393.00,1,1,Key:right,right,3588,32
1768610294.6043706,129181.00,1,1,Key:left,left,3616,28
1768610300.3774352,126083.00,1,1,Key:left,left,3648,32
1768610306.865741,110736.00,1,1,싸이킥 불릿,r,3675,27
1768610313.0834467,74635.00,1,1,Key:right,right,3691,16
1768610319.4944296,104644.00,1,1,싸이킥 불릿,r,3724,33
1768610325.7597778,102574.00,1,1,Key:right,right,3748,24
1768610332.0140588,95127.00,1,1,싸이킥 불릿,r,3779,31
1768610338.1908038,114953.00,1,1,Key:left,left,3800,21
1768610344.3734224,109539.00,1,1,Key:left,left,3814,14
1768610351.0034938,113342.00,1,1,Key:right,right,3847,33
1768610357.5361009,112675.00,1,1,Key:right,right,3856,9
1768610364.0248673,104287.00,1,1,싸이킥 불릿,r,3894,38
1768610370.8283234,96674.00,1,1,Key:right,right,3923,29
1768610377.5987816,112443.00,1,1,Key:left,left,3961,38
1768610384.2379012,97698.00,1,1,싸이킥 불릿,r,3982,21
1768610390.7119105,128869.00,1,1,Key:right,right,4020,38
1768610396.9919467,122315.00,1,1,Key:up,up,4048,28
1768610403.2973166,82902.00,1,1,싸이킥 불릿,r,4059,11
1768610409.8854897,85197.00,1,1,Key:right,right,4083,24
1768610416.7816257,92450.00,1,1,Key:e,e,4092,9
1768610423.148063,116158.00,1,1,Key:left,left,4127,35
1768610429.703489,95757.00,1,1,Key:e,e,4162,35
1768610436.2572803,99854.00,1,1,Key:<25>,<25>,4193,31
1768610442.7427328,85041.00,1,1,싸이킥 불릿,r,4211,18
1768610449.2795095,110267.00,1,1,Key:left,left,4246,35
1768610455.7364068,80629.00,1,1,Key:left,left,4267,21
1768610462.2366917,85302.00,1,1,싸이킥 불릿,r,4301,34
1768610468.7094324,96979.00,1,1,싸이킥 불릿,r,4317,16
1768610475.198043,90567.00,1,1,Key:e,e,4364,47
1768610481.656015,113483.00,1,1,싸이킥 불릿,r,4386,22
1768610488.0231507,135483.00,1,1,Key:left,left,4432,46
1768610494.5136588,98966.00,1,1,Key:right,right,4450,18
1768610500.9685485,95864.00,1,1,싸이킥 불릿,r,4488,38
1768610507.2313807,94733.00,1,1,Key:e,e,4525,37
1768610513.7969544,84164.00,1,1,Key:right,right,4546,21
1768610519.6365514,121678.00,1,1,싸이킥 불릿,r,4581,35
1768610526.134163,115402.00,1,1,싸이킥 불릿,r,4610,29
1768610532.5487561,98866.00,1,1,Key:right,right,4648,38
1768610538.9091902,97528.00,1,1,싸이킥 불릿,r,4660,12
1768610545.445719,153183.00,1,1,싸이킥 불릿,r,4696,36
1768610551.9680245,91808.00,1,1,Key:e,e,4735,39
1768610558.4556994,120554.00,1,1,Key:e,e,4770,35
1768610564.9811847,86606.00,1,1,Key:e,e,4783,13
1768610571.4113503,85694.00,1,1,Key:left,left,4816,33
1768610577.791319,115306.00,1,1,싸이킥 불릿,r,4847,31
1768610584.2476883,129273.00,1,1,Key:up,up,4861,14
1768610590.8283873,141453.00,1,1,Key:left,left,4899,38
1768610597.409999,80744.00,1,1,Key:f1,f1,4917,18
1768610604.06382,153274.00,1,1,Key:right,right,4952,35
1768610610.7166092,105999.00,1,1,Key:e,e,4988,36
1768610617.4623816,129974.00,1,1,Key:right,right,5028,40
1768610624.27995,123606.00,1,1,Key:e,e,5057,29
1768610631.034617,102787.00,1,1,싸이킥 불릿,r,5091,34
1768610637.760286,116237.00,1,1,싸이킥 불릿,r,5123,32
1768610644.595392,156049.00,1,1,Key:right,right,5164,41
1768610651.1135287,113944.00,1,1,싸이킥 불릿,r,5188,24
1768610657.910988,122412.00,1,1,Key:e,e,5219,31
1768610664.6957953,88921.00,1,1,Key:left,left,5234,15
1768610671.372752,122533.00,1,1,Key:right,right,5268,34
1768610678.2248363,126585.00,1,1,Key:left,left,5298,30
1768610685.0022151,127040.00,1,1,싸이킥 불릿,r,5326,28
1768610691.6365051,98963.00,1,1,Key:left,left,5356,30
1768610697.378388,128677.00,1,1,Key:left,left,5395,39
1768610704.0241258,106012.00,1,1,Key:left,left,5423,28
1768610710.8364863,103981.00,1,1,Key:up,up,5446,23
1768610717.704837,123027.00,1,1,Key:right,right,5475,29
1768610724.4673853,111081.00,1,1,싸이킥 불릿,r,5510,35
1768610731.1989062,109465.00,1,1,Key:left,left,5542,32
1768610737.7554567,78242.00,1,1,Key:space,space,5556,14
1768610744.49522,91001.00,1,1,Key:enter,enter,5556,0
1768610751.305996,89174.00,1,1,Key:right,right,5556,0
1768610758.0530512,117694.00,1,1,싸이킥 불릿,r,5581,25
1768610764.599541,69854.00,1,1,Key:left,left,5598,17
1768610771.2473156,103833.00,1,1,Key:right,right,5621,23
1768610777.9217682,136852.00,1,1,Key:left,left,5648,27
1768610784.5452619,99005.00,1,1,싸이킥 불릿,r,5675,27
1768610791.0410628,119804.00,1,1,Key:left,left,5693,18
1768610797.6612504,69692.00,1,1,Key:left,left,5720,27
1768610804.2487037,101784.00,1,1,싸이킥 불릿,r,5753,33
1768610810.8272269,138061.00,1,1,Key:right,right,5792,39
1768610817.4141147,119709.00,1,1,Key:e,e,5809,17
1768610824.0188556,116540.00,1,1,Key:right,right,5841,32
1768610830.7451591,86939.00,1,1,싸이킥 불릿,r,5869,28
1768610837.3389258,117608.00,1,1,에르다 샤워,4,5905,36
1768610843.955578,75699.00,1,1,Key:left,left,5913,8
1768610850.5372138,149498.00,1,1,Key:left,left,5961,48
1768610857.1471465,80887.00,1,1,싸이킥 불릿,r,5987,26
